"token ID";"tokens";"POStags";"lemmas";"namedEntities"
"t1";"Erstes";"ADJA";"erst";""
"t2";"Kapitel";"NN";"Kapitel";""
"t3";"Phileas";"NE";"Philea";"B-ORG"
"t4";"Fogg";"NE";"<unknown>";""
"t5";"und";"KON";"und";""
"t6";"Passepartout";"NN";"Passepartout";""
"t7";"nehmen";"VVFIN";"nehmen";""
"t8";"sich";"PRF";"er|es|sie";""
"t9";"einander";"PRF";"einander";""
"t10";"als";"KOKOM";"als";""
"t11";"Herr";"NN";"Herr";""
"t12";"und";"KON";"und";""
"t13";"Diener";"NN";"Diener";""
"t14";"an";"PTKVZ";"an";""
"t15";".";"$.";".";""
"t16";"Im";"APPRART";"im";""
"t17";"Jahre";"NN";"Jahr";""
"t18";"1872";"CARD";"@card@";""
"t19";"wohnte";"VVFIN";"wohnen";""
"t20";"in";"APPR";"in";""
"t21";"dem";"ART";"d";""
"t22";"Hause";"NN";"Haus";""
"t23";"Nummer";"NN";"Nummer";""
"t24";"7";"CARD";"7";""
"t25";",";"$,";",";""
"t26";"Savile";"NE";"<unknown>";"B-ORG"
"t27";"Row";"NE";"<unknown>";"I-ORG"
"t28";",";"$,";",";""
"t29";"Burlington";"NN";"<unknown>";""
"t30";"Gardens";"NN";"<unknown>";""
"t31";"–";"ADJA";"<unknown>";""
"t32";"worin";"PWAV";"worin";""
"t33";"Sheridan";"NE";"<unknown>";"B-PER"
"t34";"im";"APPRART";"im";""
"t35";"Jahre";"NN";"Jahr";""
"t36";"18141";"CARD";"@card@";""
"t37";"starb";"VVFIN";"sterben";""
"t38";"–";"NN";"<unknown>";""
"t39";"Phileas";"NE";"Philea";"B-ORG"
"t40";"Fogg";"NE";"<unknown>";""
"t41";",";"$,";",";""
"t42";"Esq.2";"NE";"<unknown>";"B-PER"
"t43";",";"$,";",";""
"t44";"eines";"ART";"ein";""
"t45";"der";"ART";"d";""
"t46";"ausgezeichnetsten";"ADJA";"<unknown>";""
"t47";"und";"KON";"und";""
"t48";"hervorragendsten";"ADJA";"hervorragend";""
"t49";"Mitglieder";"NN";"Mitglied";""
"t50";"des";"ART";"d";""
"t51";"Reformclubs3";"NN";"<unknown>";""
"t52";"zu";"APPR";"zu";""
"t53";"London";"NE";"London";"B-GPE"
"t54";",";"$,";",";""
"t55";"der";"PRELS";"d";""
"t56";"jedoch";"ADV";"jedoch";""
"t57";"dem";"ART";"d";""
"t58";"Anschein";"NN";"Anschein";""
"t59";"nach";"APPO";"nach";""
"t60";"beflissen";"VVPP";"befleißen";""
"t61";"war";"VAFIN";"sein";""
"t62";"nichts";"PIS";"nichts";""
"t63";"zu";"PTKZU";"zu";""
